Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags
75,7 - Lunges,I Will Be Here,DJ Lotus,,5:01,EDM,,,
75,8 - Shoulders,Ravers In The UK (Hypasonic Remix),Manian,,5:13,Pop,,,
75,9 - Core,More,Usher,,3:55,Hip-Hop,,,Short (<4:30)
75,10 - Cooldown,Whataya Want From Me,Adam Lambert,,3:54,Pop,,,"Short (<4:30), Pride"
76,1 - Warmup,The Climb (Almighty Essential Radio Edit),Almighty Pop Factor (original: Miley Cyrus),,5:45,Pop,,,"Sing-Along, Positive Vibes, Women of Pop, Pride"
76,2 - Squats,Telephone (Original Radio Edit),Pandora BX (original: Beyonce and Lady Gaga),,5:12,Pop,,,Women of Pop
76,3 - Chest,Beautiful Day,Lee Jones,,5:07,Pop,,,Spring
76,4 - Back,Pyromania,Sun Flash,,5:58,Pop,,,
76,5 - Triceps,My First Kiss,3OH!3 feat. Ke$ha,,5:12,Pop,,,Valentine's Day
76,6 - Biceps,Not Myself Tonight,Christina Aguilera,,4:26,Pop,,,"Women of Pop, Short (<4:30)"
76,7 - Lunges,Storm,DJ Lotus,,4:33,EDM,,,Spring
76,8 - Shoulders,Bring It Back,Paffendorf,,4:56,Pop,,,
76,9 - Core,Cooler Than Me,Mike Posner,,3:40,Pop,,,Short (<4:30)
76,10 - Cooldown,The Truth,Kris Allen,,4:08,Pop,,,Short (<4:30)
77,1 - Warmup,Commander,Spacegliderz,,5:29,Pop,,,
77,2 - Squats,It's My Life,Swade (original: Bon Jovi),,4:49,Rock,,,"Sing-Along, Positive Vibes"
77,3 - Chest,DJ Got Us Fallin' In Love,Usher feat. Pitbull,,4:59,Pop,,,"Valentine's Day, New Year's Eve, Sing-Along"
